TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Eea1	Ctsw	-0.99583	50.2	-7.0E-01	rgb( 65,124,244)	1.9949	2,2
Egr2	Runx1	0.99583	50.2	0.704	rgb(225, 83, 84)	1.9949	None
Elf1	Il2ra	-0.99583	50.2	-7.0E-01	rgb( 66,125,243)	1.9949	None
Ets1	Rasgrp2	0.99583	50.2	0.704	rgb(225, 82, 84)	1.9949	None
Gata3	Epas1	0.99583	50.2	0.699	rgb(225, 84, 85)	1.9949	2,2
Gm14420	Gm2011	0.99583	50.16	0.664	rgb(224, 90, 92)	1.9941	2,2
Hif1a	Ero1l	0.99583	50.16	0.664	rgb(224, 90, 91)	1.9941	None
Irf4	Atp8b4	-0.99583	50.2	-7.0E-01	rgb( 65,125,244)	1.9949	None
Klf4	Icam2	-0.99583	50.16	-6.6E-01	rgb( 74,130,242)	1.9941	None
Lin54	Rpp14	-0.99583	50.16	-6.6E-01	rgb( 74,130,242)	1.9941	2,2
Runx2	Basp1	0.99583	50.16	0.655	rgb(224, 92, 93)	1.9941	2,2
Sp4	Fbxw2	0.99583	50.2	0.699	rgb(225, 84, 85)	1.9949	None
Srf	Fam111a	0.99583	50.16	0.662	rgb(224, 91, 92)	1.9941	None
Stat4	Cyp39a1	0.99583	50.2	0.695	rgb(225, 84, 86)	1.9949	None
Tbx21	Gbp2	0.99583	50.16	0.664	rgb(224, 90, 92)	1.9941	2,2
Zbtb4	Ept1	-0.99583	50.16	-6.6E-01	rgb( 75,130,242)	1.9941	2,2
Zfp280b	Ap1s3	0.99583	50.16	0.659	rgb(224, 91, 92)	1.9941	2,2
Zfp385a	Ptp4a3	0.99583	50.16	0.655	rgb(224, 92, 93)	1.9941	2,2
Zfp429	H60c	-0.99583	50.16	-6.6E-01	rgb( 73,129,242)	1.9941	2,2
Atf3	Penk	0.99573	50.19	0.691	rgb(225, 85, 86)	1.9947	None
Nfatc1	Egr3	0.99573	50.19	0.694	rgb(225, 84, 86)	1.9947	None
Runx2	Snai2	0.99573	50.19	0.687	rgb(225, 86, 87)	1.9947	None
