Regulator	Target	Weight	stroke
Batf	Arhgap31	-1.6483	rgb(127,163,233)
Fosl2	Arhgap31	-1.2396	rgb(150,176,229)
Maf	Arhgap39	-1.8563	rgb(116,156,235)
Fosl2	Arhgap39	-1.9032	rgb(114,154,235)
Hif1a	Arhgdia	1.8585	rgb(222,128,129)
Fosl2	Arhgdig	-1.0821	rgb(158,181,227)
Hif1a	Arhgdig	1.8781	rgb(222,127,128)
Irf4	Arhgef1	-1.844	rgb(117,156,235)
Etv6	Arhgef1	-1.3949	rgb(141,171,230)
Batf	Arhgef10	1.8029	rgb(222,131,132)
Stat3	Arhgef10	1.8426	rgb(222,129,130)
Rorc	Arhgef10	-1.7353	rgb(123,160,234)
Fosl2	Arhgef10	1.9401	rgb(222,124,125)
Hif1a	Arhgef10	1.7841	rgb(222,132,133)
Hif1a	Arhgef11	1.3785	rgb(221,151,152)
Irf4	Arhgef18	-1.0499	rgb(160,182,227)
Irf4	Arhgef3	-1.95	rgb(111,153,236)
Maf	Arhgef3	-1.9934	rgb(109,151,236)
Fosl2	Arhgef3	-1.9784	rgb(110,152,236)
Hif1a	Arhgef3	-1.5262	rgb(134,167,232)
Batf	Arhgef40	1.0183	rgb(220,168,169)
Irf4	Arhgef40	1.0561	rgb(220,167,167)
Maf	Arhgef40	-1.5314	rgb(134,166,232)
Stat3	Arhgef40	1.189	rgb(220,160,161)
Maf	Arhgef9	-1.6595	rgb(127,162,233)
Hif1a	Arhgef9	1.7062	rgb(222,135,136)
Irf4	Arid3a	1.3983	rgb(221,150,151)
Hif1a	Arid3a	1.3051	rgb(221,155,155)
Batf	Arid4a	-1.8563	rgb(116,156,235)
Irf4	Arid5a	1.967	rgb(222,123,124)
