TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Ppara	Ctsf	0.068325	25.5	0	rgb(217,217,217)	1.5008	None
Prox1	Slc11a1	0.068325	25.5	0	rgb(217,217,217)	1.5008	2,2
Setdb2	Ppip5k2	0.068325	25.5	0	rgb(217,217,217)	1.5008	2,2
Setdb2	Vax2	0.068325	25.5	0	rgb(217,217,217)	1.5008	2,2
Trp53	6030419C18Rik	0.068325	25.5	0	rgb(217,217,217)	1.5008	None
Vdr	Id3	0.068325	25.5	0	rgb(217,217,217)	1.5008	None
Zbtb7b	Bcam	0.068325	25.5	0	rgb(217,217,217)	1.5008	None
Zfp219	Gpr65	0.068325	25.5	0	rgb(217,217,217)	1.5008	2,2
Zfp280d	Mir343	0.068325	25.5	0	rgb(217,217,217)	1.5008	2,2
Zfp367	4632434I11Rik	0.068325	25.5	0	rgb(217,217,217)	1.5008	2,2
Zfp418	Stox2	0.068325	25.5	0	rgb(217,217,217)	1.5008	2,2
Zfp511	Dock7	0.068325	25.5	0	rgb(217,217,217)	1.5008	2,2
Zfp583	Moap1	0.068325	25.5	0	rgb(217,217,217)	1.5008	2,2
Zfp707	Ly6k	0.068325	25.5	0	rgb(217,217,217)	1.5008	2,2
Zfp820	Zfp229	0.068325	25.5	0	rgb(217,217,217)	1.5008	2,2
Zfp870	Acy3	0.068325	25.5	0	rgb(217,217,217)	1.5008	2,2
Zscan10	Zcchc14	0.068325	25.5	0	rgb(217,217,217)	1.5008	None
Cebpb	Cxcr4	0.068306	29.265	0.016	rgb(217,214,214)	1.5762	None
Bcl6b	Batf3	0.068288	28.42	0.17	rgb(219,185,185)	1.5593	None
Irf2	Tmem173	0.068232	30.47	0.218	rgb(219,175,176)	1.6004	None
Mxd3	Lgals1	0.068232	30.47	0.221	rgb(219,175,175)	1.6004	None
Srebf2	Arf1	-0.068232	30.47	-2.2E-01	rgb(169,188,225)	1.6004	None
Casz1	Efcab5	-0.068176	27.335	-8.4E-02	rgb(199,206,220)	1.5376	2,2
Cxxc5	Ryr2	0.068176	27.335	0.083	rgb(218,201,201)	1.5376	2,2
Zfp367	Gdpd1	0.068176	27.335	0.083	rgb(218,201,201)	1.5376	2,2
Mxi1	Sema4f	0.068139	30.35	0.101	rgb(218,198,198)	1.598	None
Smad3	Tet1	-0.068139	30.35	-9.9E-02	rgb(195,204,221)	1.598	None
Foxa1	Havcr1	0.06812	26.805	0.054	rgb(218,207,207)	1.5269	None
Tcf4	Dntt	-0.068101	29.25	-1.6E-03	rgb(217,217,217)	1.5759	None
Elf1	Hps6	0.068045	30.85	0.101	rgb(218,198,198)	1.608	None
Hic1	Jak2	0.068045	30.85	0.099	rgb(218,198,198)	1.608	None
Plscr1	Scn1b	0.068045	30.85	0.098	rgb(218,198,198)	1.608	2,2
Zfp608	Fut7	0.068027	28.41	0.16	rgb(219,186,187)	1.5591	2,2
Klf13	Map3k1	0.06799	29.86	0.111	rgb(218,196,196)	1.5881	2,2
Zfp831	Lmna	-0.06799	29.86	-1.1E-01	rgb(194,203,221)	1.5881	2,2
Jdp2	Thbd	0.067971	30.345	0.094	rgb(218,199,199)	1.5979	None
Cebpb	Ttc16	-0.067952	27.83	-8.0E-02	rgb(200,206,220)	1.5475	None
Nkrf	Ubl4	0.067896	26.31	0.058	rgb(218,206,206)	1.517	2,2
