TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Zfp365	Zmat3	0.99435	0.99	0.372	rgb(221,146,147)	1.98	2,2
Zfp367	Dtl	0.99435	0.99	0.251	rgb(220,169,170)	1.98	2,2
Zfp367	Exo1	0.99435	0.99	0.257	rgb(220,168,169)	1.98	2,2
Zfp385a	4632434I11Rik	0.99435	0.99	0.076	rgb(218,202,203)	1.98	2,2
Zfp385a	9030617O03Rik	0.99435	0.99	0.466	rgb(222,128,129)	1.98	2,2
Zfp385a	Abhd4	0.99435	0.99	0.159	rgb(219,187,187)	1.98	2,2
Zfp385a	Ccng1	0.99435	0.99	0.315	rgb(220,157,157)	1.98	2,2
Zfp385a	Eng	0.99435	0.99	0.5	rgb(223,121,122)	1.98	2,2
Zfp385a	Ercc5	0.99435	0.99	0.197	rgb(219,179,180)	1.98	2,2
Zfp385a	Phlda3	0.99435	0.99	0.436	rgb(222,134,135)	1.98	2,2
Zfp385a	Plxna1	0.99435	0.99	0.255	rgb(220,168,169)	1.98	2,2
Zfp385a	Psrc1	0.99435	0.99	0.428	rgb(222,135,136)	1.98	2,2
Zfp385a	Ptp4a3	0.99435	0.99	0.24	rgb(220,171,172)	1.98	2,2
Zfp385a	Rnf169	0.99435	0.99	0.381	rgb(221,144,145)	1.98	2,2
Zfp385a	Slc19a2	0.99435	0.99	0.442	rgb(222,133,133)	1.98	2,2
Zfp385a	Sulf2	0.99435	0.99	0.187	rgb(219,181,182)	1.98	2,2
Zfp385a	Zfp365	0.99435	0.99	0.25	rgb(220,169,170)	1.98	2,2
Zfp385a	Zmat3	0.99435	0.99	0.272	rgb(220,165,166)	1.98	2,2
Zfp629	Zkscan17	0.99435	0.99	0.512	rgb(223,119,120)	1.98	2,2
Zfp750	Lrrc28	0.99435	0.99	0.177	rgb(219,183,184)	1.98	2,2
Zfp750	Psrc1	0.99435	0.99	0.103	rgb(218,197,197)	1.98	2,2
Zfp750	Sulf2	0.99435	0.99	0.278	rgb(220,164,164)	1.98	2,2
Zfp750	Zfp365	0.99435	0.99	0.35	rgb(221,150,151)	1.98	2,2
Ahrr	Cpox	0.9898	0.98	0.445	rgb(222,132,133)	1.96	2,2
Atf3	Nfil3	0.9898	0.98	0.173	rgb(219,184,184)	1.96	None
Atf3	Slc3a2	0.9898	0.98	0.01	rgb(217,215,215)	1.96	None
Batf	Asap1	0.9898	0.98	0.267	rgb(220,166,166)	1.96	None
Batf	Cd1d2	-0.9898	0.98	-3.6E-01	rgb(138,169,231)	1.96	None
Batf	Csgalnact1	0.9898	0.98	0.149	rgb(219,188,189)	1.96	None
Batf	Gucy2e	0.9898	0.98	0.152	rgb(219,188,188)	1.96	2,2
Batf	Igfbp7	-0.9898	0.98	-4.2E-01	rgb(125,161,233)	1.96	None
Batf	Rabgap1l	0.9898	0.98	0.36	rgb(221,148,149)	1.96	None
Batf	Tg	0.9898	0.98	0.28	rgb(220,163,164)	1.96	None
Batf	Tspan6	0.9898	0.98	0.168	rgb(219,185,185)	1.96	None
Batf	Vsig2	-0.9898	0.98	-1.1E-01	rgb(193,202,221)	1.96	None
Batf	Wisp1	-0.9898	0.98	-1.2E-02	rgb(214,215,217)	1.96	None
Bcl3	Mllt6	-0.9898	0.98	-3.0E-02	rgb(210,213,218)	1.96	None
Bcl6	Il1r1	0.9898	0.98	0.207	rgb(219,177,178)	1.96	None
Bcl6	Kcna3	0.9898	0.98	0.153	rgb(219,188,188)	1.96	None
