TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Arrb1	Gys1	0.99463	0.99	0.374	rgb(221,146,146)	1.98	2,2
Arrb1	H2-Ab1	0.99463	0.99	0.098	rgb(218,198,198)	1.98	2,2
Arrb1	Mboat2	0.99463	0.99	0.483	rgb(222,125,126)	1.98	2,2
Arrb1	P4ha2	0.99463	0.99	0.458	rgb(222,130,131)	1.98	2,2
Arrb1	Pgm2	0.99463	0.99	0.061	rgb(218,205,205)	1.98	2,2
Arrb1	Slc2a1	0.99463	0.99	0.19	rgb(219,181,181)	1.98	2,2
Batf	Gpr68	0.99463	0.99	0.278	rgb(220,164,164)	1.98	2,2
C030039L03Rik	Ankzf1	0.99463	0.99	0.696	rgb(225, 84, 86)	1.98	2,2
Dhx58	Irf7	0.99463	0.99	0.377	rgb(221,145,146)	1.98	2,2
Eno1	Higd1a	0.99463	0.99	0.379	rgb(221,145,145)	1.98	2,2
Foxs1	Mylk2	0.99463	0.99	0.536	rgb(223,115,116)	1.98	2,2
Gm13212	Bcl2a1b	0.99463	0.99	0.127	rgb(218,193,193)	1.98	2,2
Gm13212	Cdkn2d	-0.99463	0.99	-1.0E-01	rgb(194,203,221)	1.98	2,2
Gm13251	Cdkn2d	0.99463	0.99	0.176	rgb(219,183,184)	1.98	2,2
Gm14325	Cdkn2d	0.99463	0.99	0.214	rgb(219,176,176)	1.98	2,2
Gm14420	Bcl2a1b	-0.99463	0.99	-4.2E-02	rgb(208,211,219)	1.98	2,2
Gm14420	Cdkn2d	0.99463	0.99	0.344	rgb(221,151,152)	1.98	2,2
Kdm5d	Ppic	-0.99463	0.99	-1.4E-01	rgb(188,199,222)	1.98	2,2
Oasl1	Ifit1	0.99463	0.99	0.35	rgb(221,150,151)	1.98	2,2
Oasl1	Rtp4	0.99463	0.99	0.337	rgb(221,153,153)	1.98	2,2
Ppp1r10	4632434I11Rik	0.99463	0.99	0.216	rgb(219,176,176)	1.98	2,2
Rorc	Lingo4	0.99463	0.99	0.603	rgb(224,102,103)	1.98	2,2
Sp110	Bcl2a1b	0.99463	0.99	0.589	rgb(223,104,106)	1.98	2,2
Sp110	Cdkn2d	0.99463	0.99	0.517	rgb(223,118,119)	1.98	2,2
Tbx21	Gbp2	-0.99463	0.99	-2.7E-02	rgb(211,213,218)	1.98	2,2
Tbx21	Igtp	0.99463	0.99	0.128	rgb(218,193,193)	1.98	2,2
Tbx21	Il12rb2	0.99463	0.99	0.396	rgb(221,141,142)	1.98	2,2
Tbx21	Ly6a	0.99463	0.99	0.095	rgb(218,199,199)	1.98	2,2
