Regulator	Target	Weight	stroke
Maf	2900026a02rik	-0.35494	rgb(178,194,224)
Stat3	2900026a02rik	-0.35975	rgb(178,193,224)
Zfp36l2	2900026a02rik	0.33481	rgb(219,185,185)
Ikzf3	2900060b14rik	-0.36066	rgb(178,193,224)
Sp4	2900060b14rik	0.96063	rgb(222,125,126)
Tsc22d3	2900060b14rik	-0.91762	rgb(117,156,234)
Lef1	2900097c17rik	0.34396	rgb(219,184,184)
Bcl11b	3010026o09rik	0.35049	rgb(219,184,184)
Crem	3010026o09rik	0.35167	rgb(219,183,184)
Egr2	3010026o09rik	0.35526	rgb(219,183,183)
Lef1	3010026o09rik	0.34374	rgb(219,184,185)
Prkrir	3010026o09rik	0.33149	rgb(219,185,186)
Ddit3	3110001i22rik	-0.3214	rgb(182,196,223)
Irf8	3110009e18rik	1.0363	rgb(223,118,119)
Nfe2l2	3110009e18rik	-0.341	rgb(180,194,223)
Irf8	3110040n11rik	-0.57825	rgb(154,179,228)
Bcl11b	3110043o21rik	0.31312	rgb(219,187,187)
Irf4	3110043o21rik	0.33869	rgb(219,185,185)
Maf	3110043o21rik	-0.32511	rgb(182,196,223)
Zfp36l2	3110043o21rik	0.34823	rgb(219,184,184)
Irf4	3110052m02rik	-0.32588	rgb(182,195,223)
Fosl2	3110082i17rik	-0.35633	rgb(178,193,224)
Ikzf3	3110082i17rik	-0.3444	rgb(180,194,224)
Sp4	3110082i17rik	-0.70637	rgb(140,170,230)
Zeb1	3110082i17rik	-0.65622	rgb(146,174,229)
Nfatc2	3830406c13rik	0.3467	rgb(219,184,184)
Id2	4632415l05rik	0.34858	rgb(219,184,184)
Egr2	4632428n05rik	0.24554	rgb(218,194,194)
Etv6	4632428n05rik	0.42058	rgb(219,177,177)
Pou2af1	4632428n05rik	0.21628	rgb(218,196,197)
Sp4	4632428n05rik	-0.54951	rgb(157,181,227)
Etv6	4833420g17rik	0.3175	rgb(219,187,187)
Irf8	4833420g17rik	0.3594	rgb(219,183,183)
Smarca4	4833420g17rik	0.38501	rgb(219,180,181)
Zeb1	4833420g17rik	0.32276	rgb(219,186,186)
Fosl2	4833439l19rik	-0.32543	rgb(182,196,223)
Lef1	4921524j17rik	-0.32825	rgb(181,195,223)
Id2	4921533i20rik	0.31651	rgb(219,187,187)
Ikzf3	4921533i20rik	-0.3396	rgb(180,195,223)
Nfe2l2	4930404n11rik	0.31761	rgb(219,187,187)
Ddit3	4930417o13rik	-0.36056	rgb(178,193,224)
Hif1a	4930417o13rik	0.36043	rgb(219,183,183)
Maf	4930417o13rik	-0.34428	rgb(180,194,224)
Stat3	4930417o13rik	0.35925	rgb(219,183,183)
Lef1	4930427a07rik	0.31176	rgb(219,187,188)
Tsc22d3	4930429b21rik	0.71783	rgb(221,148,149)
Egr2	4930430f08rik	-0.55641	rgb(157,180,228)
Zeb1	4930430f08rik	0.6973	rgb(221,150,151)
Batf	4930452b06rik	0.31721	rgb(219,187,187)
Ikzf3	4930453n24rik	-0.33776	rgb(180,195,223)
Hif1a	4930481a15rik	0.32506	rgb(219,186,186)
Etv6	4930486l24rik	0.75602	rgb(221,145,146)
Irf8	4930486l24rik	0.78208	rgb(221,142,143)
Zeb1	4930486l24rik	0.99308	rgb(222,122,123)
Batf	4930503l19rik	0.32607	rgb(219,186,186)
Maf	4930503l19rik	-0.32422	rgb(182,196,223)
Egr2	4930512m02rik	-0.45769	rgb(167,187,226)
Ikzf4	4930512m02rik	-0.30968	rgb(183,197,223)
Irf8	4930512m02rik	-0.50755	rgb(162,184,227)
Smarca4	4930512m02rik	0.75711	rgb(221,145,145)
Zeb1	4930512m02rik	0.43	rgb(219,176,176)
Tsc22d3	4930579g24rik	-1.0525	rgb(103,148,237)
Maf	4931406c07rik	-0.33685	rgb(180,195,223)
Bcl11b	4932438a13rik	-0.35779	rgb(178,193,224)
Stat3	4932438a13rik	0.31476	rgb(219,187,187)
Atf6	4932438h23rik	0.32361	rgb(219,186,186)
Batf	4932438h23rik	0.35395	rgb(219,183,184)
Fosl2	4932438h23rik	0.36243	rgb(219,182,183)
Hif1a	4932438h23rik	0.3611	rgb(219,183,183)
Id2	4932438h23rik	0.34496	rgb(219,184,184)
Ikzf3	4932438h23rik	0.35925	rgb(219,183,183)
Nfe2l2	4932438h23rik	0.34928	rgb(219,184,184)
Rorc	4932438h23rik	-0.36012	rgb(178,193,224)
Stat3	4932438h23rik	0.35938	rgb(219,183,183)
Batf	4933404o12rik	-0.31667	rgb(183,196,223)
Bcl11b	4933404o12rik	0.35979	rgb(219,183,183)
Crem	4933404o12rik	0.3556	rgb(219,183,183)
Egr2	4933404o12rik	0.35986	rgb(219,183,183)
Id2	4933404o12rik	-0.35142	rgb(179,194,224)
Lef1	4933404o12rik	0.35623	rgb(219,183,183)
Maf	4933404o12rik	-0.36238	rgb(178,193,224)
Satb1	4933404o12rik	0.35466	rgb(219,183,183)
Zfp36l2	4933404o12rik	0.36067	rgb(219,183,183)
Tsc22d3	4933408b17rik	0.91571	rgb(222,130,130)
Zeb1	4933430i17rik	0.78123	rgb(221,142,143)
Atf6	4933434e20rik	0.32906	rgb(219,186,186)
Tsc22d3	4933434e20rik	-0.57006	rgb(155,179,228)
Lef1	5031439g07rik	0.35173	rgb(219,183,184)
Tsc22d3	5330426p16rik	-0.66539	rgb(145,173,230)
Nfe2l2	5730416f02rik	-0.31923	rgb(182,196,223)
Bcl11b	5730455p16rik	0.34448	rgb(219,184,184)
Crem	5730455p16rik	0.34972	rgb(219,184,184)
Egr2	5730455p16rik	0.35123	rgb(219,183,184)
Lef1	5730455p16rik	0.35778	rgb(219,183,183)
Nfatc2	5730455p16rik	0.35414	rgb(219,183,184)
Prkrir	5730455p16rik	0.34835	rgb(219,184,184)
Satb1	5730455p16rik	0.35084	rgb(219,183,184)
Sp4	5730455p16rik	-0.53946	rgb(158,181,227)
Zfp36l2	5730455p16rik	0.35166	rgb(219,183,184)
Etv6	5730508b09rik	-0.35222	rgb(179,194,224)
Fosl2	5730508b09rik	-0.32028	rgb(182,196,223)
Id2	5730508b09rik	-0.33587	rgb(181,195,223)
Rorc	5730508b09rik	-0.33078	rgb(181,195,223)
Sp4	5730508b09rik	0.46409	rgb(220,173,173)
Tsc22d3	5830415f09rik	0.90589	rgb(222,130,131)
Batf	6030458c11rik	-0.32735	rgb(181,195,223)
Smarca4	6030458c11rik	-0.46177	rgb(167,187,226)
Smarca4	6330416g13rik	0.5204	rgb(220,167,168)
Tsc22d3	6430571l13rik	0.64695	rgb(221,155,156)
Maf	6530402f18rik	-0.33579	rgb(181,195,223)
Satb1	6530402f18rik	0.32972	rgb(219,186,186)
Tsc22d3	8030462n17rik	-1.1072	rgb( 97,144,238)
Smarca4	9030025p20rik	0.47218	rgb(220,172,172)
Tsc22d3	9030025p20rik	-0.81363	rgb(129,163,232)
Atf6	9030617o03rik	0.33082	rgb(219,185,186)
Bcl11b	9030617o03rik	-0.35926	rgb(178,193,224)
Crem	9030617o03rik	-0.33732	rgb(180,195,223)
Ddit3	9030617o03rik	-0.3234	rgb(182,196,223)
Egr2	9030617o03rik	-0.35752	rgb(178,193,224)
Hif1a	9030617o03rik	-0.34837	rgb(179,194,224)
Id2	9030617o03rik	0.3319	rgb(219,185,186)
Ikzf3	9030617o03rik	-0.3576	rgb(178,193,224)
Maf	9030617o03rik	-0.35899	rgb(178,193,224)
Zfp36l2	9030617o03rik	-0.35158	rgb(179,194,224)
Bcl11b	9030624j02rik	-0.32266	rgb(182,196,223)
Egr2	9130401m01rik	0.2128	rgb(218,197,197)
Ikzf3	9130401m01rik	-0.34846	rgb(179,194,224)
Ikzf4	9130401m01rik	0.29443	rgb(219,189,189)
Smarca4	9130401m01rik	-0.62917	rgb(149,175,229)
Tsc22d3	9230110c19rik	0.81709	rgb(221,139,140)
Batf	9230114k14rik	-0.32834	rgb(181,195,223)
Hif1a	9330151l19rik	0.31233	rgb(219,187,187)
Lef1	9430015g10rik	0.32613	rgb(219,186,186)
Nfe2l2	9430016h08rik	-0.33835	rgb(180,195,223)
Batf	9430020k01rik	0.35536	rgb(219,183,183)
Bcl11b	9430020k01rik	0.34537	rgb(219,184,184)
Egr2	9430020k01rik	0.34769	rgb(219,184,184)
Irf4	9430020k01rik	0.35421	rgb(219,183,184)
Satb1	9430020k01rik	0.34918	rgb(219,184,184)
Stat3	9430020k01rik	0.35701	rgb(219,183,183)
Zfp36l2	9430020k01rik	0.35807	rgb(219,183,183)
Ddit3	9430038i01rik	-0.35262	rgb(179,194,224)
Etv6	9430038i01rik	-0.32044	rgb(182,196,223)
Tsc22d3	9530068e07rik	0.46003	rgb(220,173,174)
Fosl2	9530082p21rik	0.32385	rgb(219,186,186)
Hif1a	9530082p21rik	0.34358	rgb(219,184,185)
Rorc	9530082p21rik	-0.31622	rgb(183,196,223)
Zfp36l2	9930021j03rik	-0.33547	rgb(181,195,223)
Ddit3	9930104l06rik	-0.34612	rgb(179,194,224)
Ikzf3	9930104l06rik	-0.34445	rgb(180,194,224)
Maf	9930104l06rik	-0.32027	rgb(182,196,223)
Zfp36l2	9930104l06rik	-0.32832	rgb(181,195,223)
Bcl11b	9930111j21rik1	-0.3407	rgb(180,195,223)
Egr2	9930111j21rik1	0.50404	rgb(220,169,169)
Etv6	9930111j21rik1	0.52663	rgb(220,167,167)
Id2	9930111j21rik1	0.34679	rgb(219,184,184)
Irf8	9930111j21rik1	0.44007	rgb(219,175,175)
Pou2af1	9930111j21rik1	0.29777	rgb(219,189,189)
Sp4	9930111j21rik1	-0.50147	rgb(163,184,227)
Sp4	9930111j21rik2	-1.2734	rgb( 79,133,241)
Smarca4	A130010j15rik	-0.7427	rgb(136,168,231)
Fosl2	A230046k03rik	0.31828	rgb(219,187,187)
Hif1a	A230046k03rik	0.31272	rgb(219,187,187)
Irf8	A230046k03rik	0.30265	rgb(219,188,188)
Zeb1	A230046k03rik	0.30017	rgb(219,188,189)
Batf	A230050p20rik	0.32589	rgb(219,186,186)
Bcl11b	A230050p20rik	-0.36143	rgb(178,193,224)
Egr2	A230050p20rik	-0.36124	rgb(178,193,224)
Etv6	A230050p20rik	-0.36051	rgb(178,193,224)
Id2	A230050p20rik	0.35924	rgb(219,183,183)
Ikzf3	A230050p20rik	0.32881	rgb(219,186,186)
Satb1	A230050p20rik	-0.33061	rgb(181,195,223)
Zfp36l2	A230050p20rik	-0.35937	rgb(178,193,224)
Atf6	A430005l14rik	0.34157	rgb(219,184,185)
Id2	A430005l14rik	0.35777	rgb(219,183,183)
Sp4	A430005l14rik	-0.5788	rgb(154,179,228)
Id2	A430033k04rik	-0.34023	rgb(180,195,223)
Etv6	A430078g23rik	0.48909	rgb(220,170,171)
Sp4	A430078g23rik	-1.0152	rgb(107,150,236)
Maf	A430093f15rik	-0.3208	rgb(182,196,223)
Stat3	A430093f15rik	0.35355	rgb(219,183,184)
Atf6	A630001g21rik	0.33391	rgb(219,185,185)
Bcl11b	A630001g21rik	-0.34914	rgb(179,194,224)
Ddit3	A630001g21rik	-0.33865	rgb(180,195,223)
Tsc22d3	A630001g21rik	-0.80485	rgb(130,164,232)
Batf	A630033h20rik	-0.35734	rgb(178,193,224)
Bcl11b	A630033h20rik	-0.34346	rgb(180,194,224)
Ikzf3	A630033h20rik	-0.33566	rgb(181,195,223)
Irf4	A630033h20rik	-0.34772	rgb(179,194,224)
Maf	A630033h20rik	-0.3482	rgb(179,194,224)
Nfe2l2	A630033h20rik	0.35292	rgb(219,183,184)
Egr2	A630089n07rik	-0.32308	rgb(182,196,223)
Nfe2l2	A630089n07rik	0.3435	rgb(219,184,185)
Zfp36l2	A630089n07rik	-0.34519	rgb(180,194,224)
Hif1a	A830010m20rik	0.33778	rgb(219,185,185)
Rorc	A830010m20rik	-0.34796	rgb(179,194,224)
Stat3	A830010m20rik	0.31204	rgb(219,187,188)
Batf	A830080d01rik	-0.33172	rgb(181,195,223)
Bcl11b	A830080d01rik	-0.35379	rgb(179,194,224)
